,Unnamed: 0,Country,HappinessRank,HappinessScore,Whiskerhigh,Whiskerlow,EconomyGDPperCapita,Family,HealthLifeExpectancy,Freedom,Generosity,TrustGovernmentCorruption,DystopiaResidual,country_id,Latitude,Longitude,Predicted Outcome
79,79,Pakistan,80,5.269000053,5.359983641,5.178016465,0.726883531,0.67269069,0.402047783,0.235215262,0.315446019,0.124348067,2.79248929,111,30.375321,69.345116,Below Average Happiness
80,80,Indonesia,81,5.262000084,5.352888598,5.17111157,0.995538592,1.274444699,0.492345721,0.443323463,0.611704588,0.015317135,1.429476976,63,-0.789275,113.921327,Below Average Happiness
81,81,Venezuela,82,5.25,5.370031946,5.129968054,1.128431201,1.431337595,0.617144227,0.153997123,0.06501963,0.064491123,1.789463758,162,6.42375,-66.58973,Below Average Happiness
82,82,Montenegro,83,5.236999989,5.341044441,5.132955537,1.121129036,1.238376498,0.667464674,0.194989055,0.197911024,0.088174194,1.729191542,97,42.708678,19.37439,Below Average Happiness
83,83,Morocco,84,5.235000134,5.318340965,5.151659302,0.878114581,0.774864435,0.597710669,0.408158332,0.032209955,0.087763183,2.456189394,98,31.791702,-7.09262,Below Average Happiness
84,84,Azerbaijan,85,5.234000206,5.299286535,5.168713877,1.153601766,1.152400255,0.540775776,0.398155838,0.04526934,0.180987507,1.762481689,9,40.143105,47.576927,Below Average Happiness
85,85,Dominican Republic,86,5.230000019,5.349060885,5.110939153,1.079373837,1.402416706,0.574873745,0.552589834,0.18696785,0.113945253,1.31946516,41,18.735693,-70.162651,Below Average Happiness
86,86,Greece,87,5.227000237,5.325246169,5.128754304,1.289487481,1.239414573,0.810198903,0.095731251,0,0.043289777,1.749221563,53,39.074208,21.824312,Below Average Happiness
87,87,Lebanon,88,5.224999905,5.318882288,5.131117521,1.074987531,1.129624248,0.735081077,0.288515985,0.264450759,0.03751383,1.695073843,80,33.854721,35.862285,Below Average Happiness
88,88,Portugal,89,5.195000172,5.285041733,5.10495861,1.315175295,1.367043018,0.795843542,0.4984653,0.095102713,0.015869452,1.107682705,118,39.399872,-8.224454,Below Average Happiness
89,89,Bosnia and Herzegovina,90,5.18200016,5.276335687,5.087664634,0.982409418,1.069335938,0.705186307,0.204403177,0.328867495,0,1.892172575,18,43.915886,17.679076,Below Average Happiness
90,90,Honduras,91,5.181000233,5.301582797,5.060417669,0.730573118,1.143944979,0.58256948,0.34807986,0.236188874,0.073345453,2.065811157,57,15.199999,-86.241905,Below Average Happiness
91,91,Macedonia,92,5.175000191,5.27217264,5.077827742,1.064577937,1.207893014,0.644948184,0.325905979,0.253760964,0.060277794,1.617469311,86,41.608635,21.745275,Below Average Happiness
92,92,Somalia,93,5.151000023,5.24248371,5.059516336,0.022643184,0.721151352,0.113989137,0.602126956,0.291631311,0.282410324,3.11748457,131,5.152149,46.199616,Below Average Happiness
93,93,Vietnam,94,5.073999882,5.147280765,5.000718999,0.788547575,1.277491331,0.652168989,0.571055591,0.234968051,0.087633237,1.462318659,163,14.058324,108.277199,Below Average Happiness
94,94,Nigeria,95,5.073999882,5.209500135,4.938499628,0.783756256,1.215770483,0.05691573,0.394952565,0.230947196,0.026121566,2.365390539,107,9.081999,8.675277,Below Average Happiness
95,95,Tajikistan,96,5.040999889,5.111425596,4.970574183,0.524713635,1.271463275,0.529235125,0.471566707,0.248997644,0.146377146,1.84904933,147,38.861034,71.276093,Below Average Happiness
96,96,Bhutan,97,5.011000156,5.079334562,4.942665751,0.885416389,1.340126514,0.495879292,0.501537681,0.474054545,0.17338039,1.140184402,16,27.514162,90.433601,Below Average Happiness
97,97,Kyrgyzstan,98,5.004000187,5.089919903,4.918080471,0.596220076,1.394238591,0.553457797,0.454943389,0.428580374,0.039439179,1.536723137,77,41.20438,74.766098,Below Average Happiness
98,98,Nepal,99,4.961999893,5.067356079,4.856643707,0.479820192,1.179283261,0.504130781,0.440305948,0.394096166,0.072975546,1.891241074,102,28.394857,84.124008,Below Average Happiness
99,99,Mongolia,100,4.954999924,5.021679509,4.888320338,1.027235866,1.493011236,0.557783484,0.394143969,0.33846423,0.032902289,1.111292362,96,46.862496,103.846656,Below Average Happiness
100,100,South Africa,101,4.828999996,4.929435188,4.728564805,1.054698706,1.384788632,0.18708007,0.479246736,0.13936238,0.072509497,1.510908604,134,-30.559482,22.937506,Below Average Happiness
101,101,Tunisia,102,4.804999828,4.884367007,4.72563265,1.007265806,0.86835146,0.613212049,0.28968069,0.049693357,0.086723149,1.89025116,152,33.886917,9.537499,Below Average Happiness
102,102,Palestinian Territories,103,4.775000095,4.881848343,4.668151848,0.716249228,1.155647159,0.565666974,0.254711062,0.114173174,0.089282602,1.878890276,112,31.952162,35.233154,Below Average Happiness
103,103,Egypt,104,4.735000134,4.82513379,4.644866477,0.989701807,0.997471392,0.520187259,0.282110155,0.128631443,0.114381365,1.702161074,43,26.820553,30.802498,Below Average Happiness
104,104,Bulgaria,105,4.714000225,4.803694706,4.624305744,1.161459088,1.434379458,0.70821768,0.289231718,0.113177694,0.011051531,0.996139288,21,42.733883,25.48583,Below Average Happiness
105,105,Sierra Leone,106,4.709000111,4.850643335,4.567356886,0.368420929,0.984136045,0.005564754,0.318697691,0.293040901,0.071095176,2.668459892,127,8.460555,-11.779889,Below Average Happiness
106,106,Cameroon,107,4.695000172,4.796540857,4.593459486,0.564305365,0.946018219,0.132892117,0.430388749,0.236298457,0.051306631,2.333645582,25,7.369722,12.354722,Below Average Happiness
107,107,Iran,108,4.691999912,4.798224708,4.585775117,1.156873107,0.711551249,0.639333189,0.249322608,0.387242913,0.048761073,1.498734951,64,32.427908,53.688046,Below Average Happiness
108,108,Albania,109,4.644000053,4.752464006,4.5355361,0.996192753,0.803685248,0.731159747,0.381498635,0.201312944,0.039864216,1.490441561,2,41.153332,20.168331,Below Average Happiness
109,109,Bangladesh,110,4.607999802,4.689821658,4.526177945,0.586682975,0.735131741,0.533241034,0.478356659,0.172255352,0.123717859,1.978736162,11,23.684994,90.356331,Below Average Happiness
110,110,Namibia,111,4.573999882,4.770354741,4.377645023,0.964434326,1.098470807,0.338611811,0.520303547,0.077133745,0.093146972,1.481890202,101,-22.95764,18.49041,Below Average Happiness
111,111,Kenya,112,4.552999973,4.655691591,4.450308356,0.560479462,1.067950726,0.30998835,0.452763766,0.444860309,0.064641319,1.651902199,74,-0.023559,37.906193,Below Average Happiness
112,112,Mozambique,113,4.550000191,4.774102326,4.325898055,0.23430565,0.870701015,0.106654435,0.480791092,0.322228104,0.179436386,2.355650902,99,-18.665695,35.529562,Below Average Happiness
113,113,Myanmar,114,4.545000076,4.614739946,4.475260206,0.36711055,1.123235941,0.397522569,0.514492035,0.838075161,0.188816205,1.115290403,100,21.916221,95.955974,Below Average Happiness
114,114,Senegal,115,4.534999847,4.601603781,4.468395914,0.479309022,1.179691911,0.409362853,0.377922267,0.183468893,0.115460448,1.789646149,125,14.497401,-14.452362,Below Average Happiness
115,115,Zambia,116,4.513999939,4.644105501,4.383894376,0.636406779,1.003187299,0.257835895,0.461603492,0.249580145,0.07821355,1.826705456,165,-13.133897,27.849332,Below Average Happiness
116,116,Iraq,117,4.497000217,4.62259141,4.371409025,1.102710485,0.978613198,0.50118047,0.288555533,0.199637264,0.107215755,1.318907261,65,33.223191,43.679291,Below Average Happiness
117,117,Gabon,118,4.465000153,4.557361766,4.37263854,1.198210239,1.155620217,0.356578588,0.312328577,0.043785378,0.076046787,1.322916269,49,-0.803689,11.609444,Below Average Happiness
118,118,Ethiopia,119,4.460000038,4.542728677,4.3772714,0.339233845,0.864669204,0.353409708,0.408842742,0.31265074,0.165455714,2.015743732,46,9.145,40.489673,Below Average Happiness
119,119,Sri Lanka,120,4.440000057,4.553447192,4.326552922,1.009850144,1.259976387,0.625130832,0.561213255,0.490863562,0.073653966,0.419389248,138,7.873054,80.771797,Below Average Happiness
120,120,Armenia,121,4.375999928,4.466734612,4.285265243,0.900596738,1.007483721,0.637524426,0.198303267,0.083488092,0.026674422,1.521499157,6,40.069099,45.038189,Below Average Happiness
121,121,India,122,4.315000057,4.371522017,4.258478097,0.792221248,0.754372597,0.455427617,0.469987005,0.231538489,0.092226885,1.519117117,62,20.593684,78.96288,Below Average Happiness
122,122,Mauritania,123,4.291999817,4.377163616,4.206836018,0.648457289,1.27203083,0.28534928,0.096098043,0.201870024,0.136957005,1.651637316,92,21.00789,-10.940835,Below Average Happiness
123,123,Congo (Brazzaville),124,4.290999889,4.410053505,4.171946274,0.808964252,0.832044363,0.289957434,0.435025871,0.120852128,0.079618134,1.724135637,33,-0.228021,15.827659,Below Average Happiness
124,124,Georgia,125,4.285999775,4.374933966,4.197065584,0.950612664,0.570614934,0.649546981,0.309410036,0.054008815,0.251666635,1.500137806,50,32.1656221,-82.9000751,Below Average Happiness
